product_name,support,category
Organic Baby Arugula,0.03255,promo
Organic Baby Broccoli,0.01295,promo
Organic Baby Carrots,0.0336,promo
Organic Baby Kale,0.00745,low
Organic Baby Kale Mix,0.00525,low
Organic Baby Rainbow Carrots,0.00945,low
Organic Baby Spinach,0.10745,hero
Organic Baby Spinach Salad,0.0088,low
Organic Banana,0.0091,low
Organic Bartlett Pear,0.0155,promo
Organic Basil,0.011,low
Organic Bell Pepper,0.0109,low
Organic Blackberries,0.0294,promo
Organic Blueberries,0.0463,hero
Organic Bosc Pear,0.0106,low
Organic Braeburn Apple,0.00385,low
Organic Broccoli,0.01825,promo
Organic Broccoli Crowns,0.0072,low
Organic Bunch Beets,0.0066,low
"Organic Butterhead (Boston, Butter, Bibb) Lettuce",0.00485,low
Organic Butternut Squash,0.00875,low
Organic Carrot Bunch,0.01465,promo
Organic Cauliflower,0.00675,low
Organic Celery Hearts,0.01015,low
Organic Cilantro,0.0316,promo
Organic Cripps Pink Apples,0.006,low
Organic Cucumber,0.03515,promo
Organic D'Anjou Pears,0.0208,promo
Organic Dill,0.0075,low
Organic Fresh Basil,0.00575,low
Organic Fuji Apple,0.03945,hero
Organic Gala Apples,0.0311,promo
Organic Garlic,0.0505,hero
Organic Garnet Sweet Potato (Yam),0.02105,promo
Organic Ginger Root,0.0228,promo
Organic Golden Delicious Apple,0.004,low
Organic Granny Smith Apple,0.027,promo
Organic Grape Tomatoes,0.03725,hero
Organic Green Cabbage,0.00875,low
Organic Green Leaf Lettuce,0.0058,low
Organic Green Seedless Grapes,0.00905,low
Organic Hass Avocado,0.0896,hero
Organic Hothouse Cucumbers,0.01105,promo
Organic Iceberg Lettuce,0.0055,low
Organic Italian Parsley Bunch,0.02575,promo
Organic Italian Salad,0.00405,low
Organic Jalapeno Pepper,0.0078,low
Organic Kiwi,0.0209,promo
Organic Lacinato (Dinosaur) Kale,0.01945,promo
Organic Large Extra Fancy Fuji Apple,0.0322,promo
Organic Large Green Asparagus,0.0081,low
Organic Leek,0.0085,low
Organic Lemon,0.0389,hero
Organic Mango,0.0039,low
Organic Mint,0.0095,low
Organic Navel Orange,0.0193,promo
Organic Nectarine,0.00565,low
Organic Orange Bell Pepper,0.0056,low
Organic Peeled Whole Baby Carrots,0.02365,promo
Organic Rainbow Carrots,0.00655,low
Organic Raspberries,0.05845,hero
Organic Red Bell Pepper,0.02415,promo
Organic Red Cabbage,0.006,low
Organic Red Chard Greens,0.00475,low
Organic Red Delicious Apple,0.00735,low
Organic Red Grapes,0.00445,low
Organic Red On the Vine Tomato,0.00445,low
Organic Red Onion,0.0281,promo
Organic Red Potato,0.00375,low
Organic Red Potatoes,0.00375,low
"Organic Red Radish, Bunch",0.0116,promo
Organic Roma Tomato,0.01325,promo
Organic Romaine,0.0108,low
Organic Romaine Hearts,0.0057,low
Organic Romaine Leaf,0.005,low
Organic Romaine Lettuce,0.01455,promo
Organic Rosemary,0.00465,low
Organic Russet Potato,0.0134,promo
Organic Shredded Carrots,0.01015,low
Organic Small Bunch Celery,0.0302,promo
Organic Snipped Green Beans,0.0073,low
Organic Spaghetti Squash,0.00705,low
Organic Spinach Bunch,0.00525,low
Organic Spring Mix,0.01285,promo
Organic Spring Mix Salad,0.0095,low
Organic Strawberries,0.1182,hero
Organic Thyme,0.0089,low
Organic Tomato Cluster,0.0257,promo
Organic White Onions,0.01145,promo
Organic Yams,0.0092,low
Organic Yellow Onion,0.04905,hero
Organic Yellow Peaches,0.0084,low
Organic Yellow Squash,0.0045,low
Organic Zucchini,0.0438,hero
Packaged Grape Tomatoes,0.00665,low
"Parsley, Italian (Flat), New England Grown",0.00405,low
Potato Yukon Gold Organic,0.0059,low
Rainbow Bell Peppers,0.005,low
Raspberries,0.02485,promo
Red Leaf Lettuce,0.00305,low
Red Onion,0.01955,promo
Red Peppers,0.02465,promo
Red Plums,0.0039,low
Red Potatoes,0.00445,low
Red Raspberries,0.01075,low
Red Seedless Grapes,0.00375,low
Red Vine Tomato,0.0223,promo
Roma Tomato,0.01715,promo
Romaine Hearts,0.01275,promo
Romaine Lettuce,0.00445,low
Russet Potato,0.01185,promo
Seedless Cucumbers,0.007,low
Seedless Red Grapes,0.03795,hero
Seedless Small Watermelon,0.00685,low
Shallot,0.0069,low
Sinfully Sweet Campari Tomatoes,0.00635,low
Small Hass Avocado,0.022,promo
Spinach,0.00725,low
Strawberries,0.06035,hero
Sugar Snap Peas,0.0069,low
Super Greens Salad,0.00765,low
"Super Spinach! Baby Spinach, Baby Bok Choy, Sweet Baby Kale",0.00625,low
Supergreens!,0.0039,low
Sweet Kale Salad Mix,0.00455,low
Sweet Onion,0.00775,low
Vine Ripe Tomatoes,0.007,low
Watermelon Chunks,0.0097,low
White Corn,0.00915,low
White Onion,0.00665,low
White Peach,0.00365,low
XL Emerald White Seedless Grapes,0.00715,low
Yellow Bell Pepper,0.00975,low
Yellow Onions,0.0317,promo
