antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Yellow Onion'}),frozenset({'Organic Garlic'}),0.04905,0.0505,0.0101,0.20591233435270132,4.077471967380224,1.0,0.007622974999999999,1.195711810012837,0.79368000420632,0.11291224147568474,0.1636780772540298,0.20295616717635065
frozenset({'Organic Strawberries'}),frozenset({'Organic Blueberries'}),0.1182,0.0463,0.01115,0.094331641285956,2.0374004597398705,1.0,0.00567734,1.0530344698738907,0.5774307953462496,0.07270948809911966,0.05036346994438083,0.16757618781360434
frozenset({'Organic Blueberries'}),frozenset({'Organic Strawberries'}),0.0463,0.1182,0.01115,0.2408207343412527,2.0374004597398705,1.0,0.00567734,1.1615174964438124,0.5338979504417772,0.07270948809911966,0.1390573081665374,0.16757618781360434
frozenset({'Banana'}),frozenset({'Strawberries'}),0.2098,0.06035,0.01935,0.09223069590085796,1.528263395208914,1.0,0.00668857,1.035119821475453,0.4374367657551779,0.07715311004784688,0.033928266802381694,0.20643017810784406
frozenset({'Strawberries'}),frozenset({'Banana'}),0.06035,0.2098,0.01935,0.32062966031483014,1.528263395208914,1.0,0.00668857,1.1631358536585368,0.3678630684826708,0.07715311004784688,0.14025520161330063,0.20643017810784406
frozenset({'Organic Garlic'}),frozenset({'Bag of Organic Bananas'}),0.0505,0.1604,0.01,0.198019801980198,1.2345374188291647,1.0,0.0018998,1.0469086419753086,0.20008425487098475,0.04977600796416128,0.04480681512648644,0.13018197081553542
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Garlic'}),0.1604,0.0505,0.01,0.06234413965087283,1.234537418829165,1.0,0.0018998,1.0126316489361702,0.22627441638875653,0.04977600796416128,0.012474080727617508,0.13018197081553542
frozenset({'Banana'}),frozenset({'Honeycrisp Apple'}),0.2098,0.03375,0.01305,0.062202097235462356,1.8430251032729585,1.0,0.005969250000000001,1.0303392630241424,0.5788582550030983,0.05661605206073753,0.02944589623333749,0.22443438195106452
frozenset({'Honeycrisp Apple'}),frozenset({'Banana'}),0.03375,0.2098,0.01305,0.38666666666666666,1.8430251032729585,1.0,0.005969250000000001,1.2883695652173914,0.47339073024936434,0.05661605206073753,0.22382519193453135,0.22443438195106452
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Bag of Organic Bananas'}),0.03755,0.1604,0.01035,0.2756324900133156,1.7184070449707955,1.0,0.00432698,1.1590801470588235,0.43437653954292876,0.055170575692963755,0.13724689139270557,0.17007933727598448
frozenset({'Bag of Organic Bananas'}),frozenset({'Apple Honeycrisp Organic'}),0.1604,0.03755,0.01035,0.06452618453865337,1.7184070449707955,1.0,0.00432698,1.0288369210263246,0.49793437408657903,0.055170575692963755,0.028028660749808688,0.17007933727598448
frozenset({'Organic Zucchini'}),frozenset({'Bag of Organic Bananas'}),0.0438,0.1604,0.0104,0.2374429223744292,1.480317471162277,1.0,0.00337448,1.1010323353293414,0.339331971103567,0.053663570691434466,0.09176146066511341,0.15114041380566848
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Zucchini'}),0.1604,0.0438,0.0104,0.06483790523690773,1.480317471162277,1.0,0.00337448,1.0224965333333333,0.3864569208780738,0.053663570691434466,0.02200157418626619,0.15114041380566848
frozenset({'Organic Lemon'}),frozenset({'Bag of Organic Bananas'}),0.0389,0.1604,0.0102,0.26221079691516713,1.6347306540845832,1.0,0.003960440000000002,1.1379944250871081,0.40399378979559797,0.05393971443680593,0.12126107302902232,0.1629009096795287
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Lemon'}),0.1604,0.0389,0.0102,0.06359102244389028,1.6347306540845832,1.0,0.003960440000000002,1.0263677762982688,0.46245644517931056,0.05393971443680593,0.025690378154084162,0.1629009096795287
frozenset({'Banana'}),frozenset({'Organic Baby Spinach'}),0.2098,0.10745,0.02395,0.11415633937082936,1.0624135818597427,1.0,0.0014069900000000003,1.007570567662093,0.0743444354089158,0.08165700647800886,0.00751368480290108,0.1685253544225017
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.10745,0.2098,0.02395,0.22289436947417401,1.0624135818597427,1.0,0.0014069900000000003,1.0168501796407186,0.0658192514258308,0.08165700647800886,0.016570956054383735,0.1685253544225017
frozenset({'Organic Strawberries'}),frozenset({'Organic Baby Spinach'}),0.1182,0.10745,0.01585,0.13409475465313028,1.24797351934044,1.0,0.0031494099999999983,1.030770981924768,0.22533561620802864,0.07554814108674927,0.02985239443519162,0.14080261231958513
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Strawberries'}),0.10745,0.1182,0.01585,0.14751046998604,1.24797351934044,1.0,0.0031494099999999983,1.0343822052401748,0.2226216417816813,0.07554814108674927,0.033239362651440243,0.14080261231958513
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.10745,0.1604,0.02115,0.1968357375523499,1.2271554710246253,1.0,0.003915019999999998,1.045365237543453,0.20739155073127652,0.08573165788406972,0.04339654305901609,0.16434679645697295
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Spinach'}),0.1604,0.10745,0.02115,0.131857855361596,1.2271554710246253,1.0,0.003915019999999998,1.0281150448833034,0.22047085350786194,0.08573165788406972,0.02734620509954176,0.16434679645697295
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.0896,0.1604,0.0258,0.28794642857142855,1.7951772354827218,1.0,0.011428160000000001,1.1791247648902823,0.48654650481601075,0.11507582515611062,0.1519133260736405,0.2243971544353402
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Hass Avocado'}),0.1604,0.0896,0.0258,0.16084788029925187,1.7951772354827218,1.0,0.011428160000000001,1.0849046062407133,0.527574961868147,0.11507582515611062,0.07825997396666506,0.2243971544353402
frozenset({'Organic Strawberries'}),frozenset({'Organic Hass Avocado'}),0.1182,0.0896,0.01655,0.14001692047377326,1.5626888445733622,1.0,0.005959279999999999,1.0586254795868175,0.4083435488656476,0.0865359477124183,0.055378866952738644,0.16236337095117234
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Strawberries'}),0.0896,0.1182,0.01655,0.18470982142857142,1.5626888445733622,1.0,0.005959279999999999,1.081578097193703,0.3955155331609491,0.0865359477124183,0.0754250639924829,0.16236337095117234
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Baby Spinach'}),0.0896,0.10745,0.01395,0.1556919642857143,1.4489712823240046,1.0,0.00432248,1.0571378717779245,0.34035061196464905,0.07618787547788093,0.05404959306001266,0.14275989559097257
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Hass Avocado'}),0.10745,0.0896,0.01395,0.12982782689623082,1.4489712823240046,1.0,0.00432248,1.046229732620321,0.3471572428800812,0.07618787547788093,0.0441869803341727,0.14275989559097257
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.05845,0.1604,0.01595,0.2728828058169375,1.7012643754173165,1.0,0.00657462,1.1546969411764705,0.4377907502286049,0.07861015278462297,0.13397189830507092,0.18616085428003984
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Raspberries'}),0.1604,0.05845,0.01595,0.09943890274314214,1.7012643754173162,1.0,0.00657462,1.0455148494288682,0.4909503107167019,0.07861015278462297,0.04353343183382947,0.18616085428003984
frozenset({'Organic Raspberries'}),frozenset({'Organic Hass Avocado'}),0.05845,0.0896,0.01,0.1710863986313088,1.9094464132958573,1.0,0.00476288,1.0983050567595458,0.50585523870214,0.07243752263672583,0.08950614963895959,0.14134677074422583
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Raspberries'}),0.0896,0.05845,0.01,0.11160714285714286,1.9094464132958573,1.0,0.00476288,1.0598351758793971,0.5231634446397189,0.07243752263672583,0.05645705789086385,0.14134677074422583
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.05845,0.1182,0.0159,0.272027373823781,2.301416022197809,1.0,0.00899121,1.2113092831962398,0.6005893533645343,0.09891135303265941,0.1744470104601735,0.20327257016062147
frozenset({'Organic Strawberries'}),frozenset({'Organic Raspberries'}),0.1182,0.05845,0.0159,0.13451776649746194,2.301416022197809,1.0,0.00899121,1.087890615835777,0.6412847648677447,0.09891135303265941,0.08078993839675211,0.20327257016062147
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.03945,0.2098,0.0145,0.367553865652725,1.7519250031111775,1.0,0.006223390000000002,1.249434468937876,0.44682662052452005,0.061767838125665615,0.1996378962955265,0.21833365351273049
frozenset({'Banana'}),frozenset({'Organic Fuji Apple'}),0.2098,0.03945,0.0145,0.06911344137273595,1.7519250031111775,1.0,0.006223390000000002,1.0318657962109574,0.5431527592316221,0.061767838125665615,0.03088172544139915,0.21833365351273049
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.1182,0.2098,0.0272,0.23011844331641285,1.0968467269609765,1.0,0.00240164,1.0263916483516484,0.10013108214481076,0.09042553191489362,0.02571303887169433,0.17988286322160013
frozenset({'Banana'}),frozenset({'Organic Strawberries'}),0.2098,0.1182,0.0272,0.12964728312678742,1.0968467269609765,1.0,0.00240164,1.013152464403067,0.11173827921449522,0.09042553191489362,0.012981722756619886,0.17988286322160013
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.1182,0.1604,0.02485,0.21023688663282572,1.3107037820001604,1.0,0.005890720000000002,1.0631035886448847,0.2688263853933308,0.09793103448275864,0.05935789260698634,0.18258103683262233
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Strawberries'}),0.1604,0.1182,0.02485,0.15492518703241898,1.3107037820001606,1.0,0.005890720000000002,1.043457912209517,0.2823381451165306,0.09793103448275864,0.04164797803631093,0.18258103683262233
frozenset({'Seedless Red Grapes'}),frozenset({'Banana'}),0.03795,0.2098,0.01225,0.3227931488801054,1.5385755428031718,1.0,0.004288090000000001,1.1668517509727627,0.36385651812827424,0.052016985138004256,0.14299310159466644,0.1905910453647429
frozenset({'Banana'}),frozenset({'Seedless Red Grapes'}),0.2098,0.03795,0.01225,0.05838894184938037,1.538575542803172,1.0,0.004288090000000001,1.0217063528220702,0.4429867922871503,0.052016985138004256,0.021245197078509824,0.1905910453647429
frozenset({'Limes'}),frozenset({'Banana'}),0.06305,0.2098,0.0145,0.2299762093576527,1.096168776728564,1.0,0.0012721100000000034,1.026202059732235,0.0936354385377355,0.05612541126378944,0.025533041454888272,0.1495448253651943
frozenset({'Banana'}),frozenset({'Limes'}),0.2098,0.06305,0.0145,0.06911344137273595,1.096168776728564,1.0,0.0012721100000000034,1.0065136200716844,0.11102470784349693,0.05612541126378944,0.006471467391788202,0.1495448253651943
frozenset({'Limes'}),frozenset({'Organic Avocado'}),0.06305,0.0793,0.0103,0.1633624107850912,2.060055621501781,1.0,0.005300135000000001,1.1004764928909951,0.5492034938814591,0.07800075728890574,0.09130271617800717,0.14662445886038922
frozenset({'Organic Avocado'}),frozenset({'Limes'}),0.0793,0.06305,0.0103,0.12988650693568726,2.060055621501781,1.0,0.005300135000000001,1.0768135507246377,0.5588967237886749,0.07800075728890574,0.07133412341713781,0.14662445886038922
frozenset({'Limes'}),frozenset({'Large Lemon'}),0.06305,0.06625,0.0124,0.19666931007137192,2.968593359567878,1.0,0.0082229375,1.1623482230997038,0.7077646843137221,0.10607356715141146,0.13967262122770754,0.1919195606960633
frozenset({'Large Lemon'}),frozenset({'Limes'}),0.06625,0.06305,0.0124,0.1871698113207547,2.968593359567878,1.0,0.0082229375,1.1527007892293406,0.7101902232586259,0.10607356715141146,0.13247218242249287,0.1919195606960633
frozenset({'Banana'}),frozenset({'Cucumber Kirby'}),0.2098,0.04075,0.0138,0.06577693040991421,1.6141578014702873,1.0,0.005250650000000001,1.026789030612245,0.4815007391267668,0.05828933474128828,0.02609010206923556,0.20221361857919024
frozenset({'Cucumber Kirby'}),frozenset({'Banana'}),0.04075,0.2098,0.0138,0.33865030674846625,1.6141578014702873,1.0,0.005250650000000001,1.1948293135435994,0.3966451749366391,0.05828933474128828,0.16306037300489276,0.20221361857919024
